slug,port_name,country,type,url
Burgas,Burgas,Bulgaria,ocean,https://www.whatsinport.com/Burgas.htm
Burnie-Tasmania,Burnie Tasmania,Australia,ocean,https://www.whatsinport.com/Burnie-Tasmania.htm
Busan,Busan,South Korea,ocean,https://www.whatsinport.com/Busan.htm
Buschehr,Buschehr,Iran,ocean,https://www.whatsinport.com/Buschehr.htm
Busselton,Busselton,Australia,ocean,https://www.whatsinport.com/Busselton.htm
Button-Island,Button Island,Canada,ocean,https://www.whatsinport.com/Button-Island.htm
Cabo-Frio,Cabo Frio,Brazil,ocean,https://www.whatsinport.com/Cabo-Frio.htm
Cabo-Rojo,Cabo Rojo,Dominican Republic,ocean,https://www.whatsinport.com/Cabo-Rojo.htm
Cabo-San-Lucas,Cabo San Lucas,Mexico,ocean,https://www.whatsinport.com/Cabo-San-Lucas.htm
Cadillac-fr,Cadillac fr,France,river,https://www.whatsinport.com/Cadillac-fr.htm
Cadiz,Cadiz,Spain,ocean,https://www.whatsinport.com/Cadiz.htm
Cagliari-Sardinia,Cagliari Sardinia,Italy,ocean,https://www.whatsinport.com/Cagliari-Sardinia.htm
Cai_Be-vn,Cai Be vn,Vietnam,river,https://www.whatsinport.com/Cai_Be-vn.htm
Cairns,Cairns,Australia,ocean,https://www.whatsinport.com/Cairns.htm
Caldas_de_Aregos-pt,Caldas de Aregos pt,Portugal,river,https://www.whatsinport.com/Caldas_de_Aregos-pt.htm
Calica,Calica,Mexico,ocean,https://www.whatsinport.com/Calica.htm
Callao-Lima,Callao Lima,Peru,ocean,https://www.whatsinport.com/Callao-Lima.htm
Calvi-Corsica,Calvi Corsica,France,ocean,https://www.whatsinport.com/Calvi-Corsica.htm
Camas-Washougal-us,Camas Washougal us,USA,river,https://www.whatsinport.com/Camas-Washougal-us.htm
Camboriu,Camboriu,Brazil,ocean,https://www.whatsinport.com/Camboriu.htm
Cambridge-Bay-Victoria-Island,Cambridge Bay Victoria Island,Canada,ocean,https://www.whatsinport.com/Cambridge-Bay-Victoria-Island.htm
Campbell-Island,Campbell Island,New Zealand,ocean,https://www.whatsinport.com/Campbell-Island.htm
Canakkale,Canakkale,Turkey,ocean,https://www.whatsinport.com/Canakkale.htm
Cannes,Cannes,France,ocean,https://www.whatsinport.com/Cannes.htm
Canouan,Canouan,Saint Vincent and the Granadines,ocean,https://www.whatsinport.com/Canouan.htm
Cape-Adare,Cape Adare,Antarctica,ocean,https://www.whatsinport.com/Cape-Adare.htm
Cape-Dorset,Cape Dorset,Canada,ocean,https://www.whatsinport.com/Cape-Dorset.htm
Cape-Evans,Cape Evans,Antarctica,ocean,https://www.whatsinport.com/Cape-Evans.htm
Cape-Hallet,Cape Hallet,Antarctica,ocean,https://www.whatsinport.com/Cape-Hallet.htm
Cape-Horn,Cape Horn,Chile,ocean,https://www.whatsinport.com/Cape-Horn.htm
Cape-Liberty,Cape Liberty,USA,ocean,https://www.whatsinport.com/Cape-Liberty.htm
Cape-Royds,Cape Royds,Antarctica,ocean,https://www.whatsinport.com/Cape-Royds.htm
Cape-Town,Cape Town,South Africa,ocean,https://www.whatsinport.com/Cape-Town.htm
Cape-of-Good-Hope,Cape of Good Hope,South Africa,ocean,https://www.whatsinport.com/Cape-of-Good-Hope.htm
Cape_Girardeau_MO-us,Cape Girardeau MO us,USA,river,https://www.whatsinport.com/Cape_Girardeau_MO-us.htm
Capri,Capri,Italy,ocean,https://www.whatsinport.com/Capri.htm
Carcass-Island,Carcass Island,Falkland Islands,ocean,https://www.whatsinport.com/Carcass-Island.htm
Cardiff,Cardiff,United Kingdom,ocean,https://www.whatsinport.com/Cardiff.htm
Carloforte,Carloforte,Italy,ocean,https://www.whatsinport.com/Carloforte.htm
Carriacou,Carriacou,Grenada,ocean,https://www.whatsinport.com/Carriacou.htm
Cartagena,Cartagena,Spain,ocean,https://www.whatsinport.com/Cartagena.htm
